world,arm,logging,T,alpha,replicas,seed,reconciliation,n_obs,decl_elected,decl_reason,decl_n_warranting,decl_n_appearing,decl_n_props,decl_n_conflicts,decl_APPLICABLE,decl_OUT_OF_SCOPE,decl_AGED,decl_UNEVALUABLE,aged_inside_window,sstar_kind,n_supporting,n_contradicting,supp_seq_min,supp_seq_max,contra_seq_min,contra_seq_max,order_legible,decay_strategy,decay_better_share,decay_weight_sstar,current_strategy,current_counted,current_excluded,p2_hits,p2_total,p4_tp,p4_fp,p4_fn,p4_branch_ok,p4_returned_ok,p4_n_aged_pre_tau1,p4_branch_expected,p4b_all_excluded,p5_divergent,confusion_json
A,A-logged,logged,40,strict,1,20,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,27,11,0,39,15,38,True,s_star,0.675,0.675,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,1,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,22,12,0,39,6,38,True,s_star,0.55,0.55,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,2,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,22,13,0,30,2,39,True,s_star,0.55,0.55,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,3,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,12,0,39,2,38,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,4,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,17,12,1,39,6,38,True,s_star,0.425,0.425,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,5,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,23,10,2,38,0,39,True,s_star,0.575,0.575,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,6,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,23,10,0,37,14,39,True,s_star,0.575,0.575,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,7,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,11,0,39,7,38,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,8,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,28,8,0,39,3,37,True,s_star,0.7,0.7,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,9,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,18,11,1,39,3,33,True,s_star,0.45,0.45,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,10,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,22,11,1,37,2,39,True,s_star,0.55,0.55,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,11,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,10,0,39,12,36,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,12,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,23,7,0,38,20,39,True,s_star,0.575,0.575,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,13,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,18,13,3,38,2,36,True,s_star,0.45,0.45,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,14,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,21,12,1,37,0,39,True,s_star,0.525,0.525,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,15,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,26,8,0,39,1,31,True,s_star,0.65,0.65,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,16,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,19,12,0,34,9,39,True,s_star,0.475,0.475,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,17,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,12,1,37,0,39,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,18,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,20,13,0,38,11,39,True,s_star,0.5,0.5,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,19,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,20,14,0,32,6,39,True,s_star,0.5,0.5,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,lenient,1,20,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,27,11,0,39,15,38,True,s_star,0.675,0.675,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,1,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,17,20,123,158,120,159,True,s_star,0.5326885859450531,0.5326885859450533,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,2,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,16,18,120,155,122,159,True,s_star,0.5716174957731838,0.5716174957731838,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,3,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,17,17,125,157,121,158,True,s_star,0.5254138718875566,0.5254138718875567,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,4,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,10,23,120,158,121,159,True,s_star,0.4750998278704511,0.4750998278704512,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,5,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,17,19,121,156,122,159,True,s_star,0.5206113535740561,0.5206113535740562,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,6,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,17,17,121,157,120,159,True,s_star,0.5091686562543518,0.5091686562543518,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,7,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,13,19,120,159,121,157,True,s_star,0.5045284282116286,0.5045284282116286,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,8,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,18,16,122,158,120,159,True,s_star,0.5753641939729981,0.5753641939729982,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,9,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,16,21,125,158,120,159,True,s_star,0.4712077186690814,0.47120771866908145,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,10,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,16,13,123,159,120,158,True,s_star,0.5908852729705177,0.5908852729705177,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,11,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,17,20,120,156,122,159,True,s_star,0.5677000641441621,0.5677000641441621,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,12,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,20,14,120,159,128,156,True,s_star,0.5102882808438753,0.5102882808438755,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,13,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,20,14,121,157,120,159,True,s_star,0.5279214664906952,0.5279214664906952,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,14,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,21,13,121,157,120,155,True,s_star,0.5967436719648304,0.5967436719648305,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,15,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,12,22,122,159,120,158,True,s_star,0.4647269671053692,0.46472696710536926,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,16,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,13,20,121,157,122,159,True,s_star,0.4977636443738248,0.49776364437382487,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,17,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,17,17,121,158,120,159,True,s_star,0.5845501563198897,0.5845501563198898,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,18,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,20,14,125,158,120,159,True,s_star,0.5385725461151358,0.5385725461151359,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,19,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,18,17,121,159,120,158,True,s_star,0.5533823862508624,0.5533823862508624,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,strict,1,20,,160,,B_blocking,40,40,1,1,40,0,120,0,0,B,19,12,120,156,126,158,True,s_star,0.590134969102772,0.590134969102772,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 120, ""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,160,lenient,1,1,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,60,47,40,158,44,159,True,s_star,0.5326885859450531,0.5326885859450533,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,2,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,66,36,41,155,42,159,True,s_star,0.5716174957731838,0.5716174957731838,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,3,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,59,45,41,157,40,158,True,s_star,0.5254138718875566,0.5254138718875567,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,4,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,55,47,42,158,40,159,True,s_star,0.4750998278704511,0.4750998278704512,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,5,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,60,43,40,156,41,159,True,s_star,0.5206113535740561,0.5206113535740562,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,6,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,58,38,40,157,44,159,True,s_star,0.5091686562543518,0.5091686562543518,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,7,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,58,40,40,159,43,157,True,s_star,0.5045284282116286,0.5045284282116286,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,8,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,67,38,43,158,41,159,True,s_star,0.5753641939729981,0.5753641939729982,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,9,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,56,55,40,158,42,159,True,s_star,0.4712077186690814,0.47120771866908145,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,10,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,69,35,42,159,40,158,True,s_star,0.5908852729705177,0.5908852729705177,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,11,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,67,40,40,156,45,159,True,s_star,0.5677000641441621,0.5677000641441621,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,12,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,59,40,40,159,43,156,True,s_star,0.5102882808438753,0.5102882808438755,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,13,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,64,39,40,157,42,159,True,s_star,0.5279214664906952,0.5279214664906952,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,14,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,71,33,40,157,43,155,True,s_star,0.5967436719648304,0.5967436719648305,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,15,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,54,46,40,159,47,158,True,s_star,0.4647269671053692,0.46472696710536926,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,16,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,59,45,40,157,42,159,True,s_star,0.4977636443738248,0.49776364437382487,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,17,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,69,38,40,158,50,159,True,s_star,0.5845501563198897,0.5845501563198898,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,18,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,62,42,40,158,44,159,True,s_star,0.5385725461151358,0.5385725461151359,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,19,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,66,38,40,159,41,158,True,s_star,0.5533823862508624,0.5533823862508624,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
A,A-logged,logged,160,lenient,1,20,,160,,B_blocking,120,40,1,1,120,0,40,0,0,B,70,31,40,156,42,158,True,s_star,0.590134969102772,0.590134969102772,s_star,160,0,0,0,,,,,,,,,True,"{""aged_or_applicable>AGED"": 40, ""aged_or_applicable>APPLICABLE"": 120}"
B,B-logged,logged,40,strict,1,1,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,8,11,12,39,10,38,True,s_star,0.55,0.55,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,2,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,3,14,11,30,10,39,True,s_star,0.5,0.5,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,3,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,6,12,16,39,10,38,True,s_star,0.575,0.575,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,4,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,3,11,18,39,11,38,True,s_star,0.425,0.425,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,5,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,7,11,11,38,10,39,True,s_star,0.5,0.5,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,6,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,6,9,10,37,14,39,True,s_star,0.6,0.6,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,7,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,9,9,10,39,13,38,True,s_star,0.625,0.625,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,8,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,10,9,10,39,14,37,True,s_star,0.675,0.675,s_star,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,9,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,9,9,11,39,10,33,True,s_star,0.5,0.5,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,10,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,9,8,11,37,10,39,True,s_star,0.575,0.575,s_star,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,11,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,7,11,13,39,10,36,True,s_star,0.55,0.55,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,12,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,9,9,10,38,11,39,True,s_star,0.525,0.525,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,13,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,7,12,10,38,11,36,True,s_star,0.45,0.45,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
B,B-logged,logged,40,strict,1,14,,40,,out_of_scope_or_aged,20,0,1,1,20,20,0,0,0,B,5,11,11,37,10,39,True,s_star,0.525,0.525,,20,20,20,20,,,,,,,,,True,"{""applicable>APPLICABLE"": 20, ""out_of_scope>OUT_OF_SCOPE"": 20}"
