node,T,noise,keep,seed,verdict,fires,stat,gain_ss,gain_sw,hardest
M1+H,600,0.3,1.0,0,passa,0,0.010787,0.027137,0.010787,switching
M1+H,600,0.3,1.0,1,passa,0,0.010401,0.010401,0.021262,state_space
M1+H,600,0.3,1.0,2,passa,0,0.029307,0.03015,0.029307,switching
M1+H,600,0.3,1.0,3,passa,0,0.011332,0.011332,0.039264,state_space
M1+H,600,0.3,1.0,4,passa,0,0.005773,0.005773,0.220367,state_space
M1+H,600,0.3,1.0,5,passa,0,0.008768,0.008768,0.015611,state_space
M1+H,600,0.3,1.0,6,passa,0,0.006342,0.049766,0.006342,switching
M1+H,600,0.3,1.0,7,passa,0,0.009319,0.021161,0.009319,switching
M1+H,600,0.3,0.7,0,passa,0,-0.073361,-0.042287,-0.073361,switching
M1+H,600,0.3,0.7,1,passa,0,0.01746,0.01746,0.05718,state_space
M1+H,600,0.3,0.7,2,passa,0,0.029361,0.04685,0.029361,switching
M1+H,600,0.3,0.7,3,passa,0,0.010735,0.010735,0.056695,state_space
M1+H,600,0.3,0.7,4,passa,0,-0.070622,-0.070622,0.064555,state_space
M1+H,600,0.3,0.7,5,passa,0,0.008893,0.008893,0.034951,state_space
M1+H,600,0.3,0.7,6,passa,0,-0.016357,0.039965,-0.016357,switching
M1+H,600,0.3,0.7,7,passa,0,0.025553,0.025553,0.040365,state_space
M1+M,300,0.05,1.0,0,passa,0,0.019965,0.019965,0.079351,state_space
M1+M,300,0.05,1.0,1,falha,1,0.046062,0.046062,0.115538,state_space
M1+M,300,0.05,1.0,2,falha,1,0.077707,0.077707,0.249955,state_space
M1+M,300,0.05,1.0,3,passa,0,-0.007204,-0.007204,0.016664,state_space
M1+M,300,0.05,1.0,4,passa,0,-0.713334,-0.713334,-0.602281,state_space
M1+M,300,0.05,1.0,5,passa,0,0.009572,0.009572,0.037153,state_space
M1+M,300,0.05,1.0,6,falha,1,0.057325,0.057325,0.109507,state_space
M1+M,300,0.05,1.0,7,falha,1,0.054126,0.054126,0.202465,state_space
M1+M,300,0.05,0.7,0,passa,0,0.01429,0.015255,0.01429,switching
M1+M,300,0.05,0.7,1,falha,1,0.036462,0.036462,0.086643,state_space
M1+M,300,0.05,0.7,2,falha,1,0.096764,0.096764,0.13384,state_space
M1+M,300,0.05,0.7,3,passa,0,-0.024108,-0.024108,0.025664,state_space
M1+M,300,0.05,0.7,4,passa,0,-2.959735,-1.428591,-2.959735,switching
M1+M,300,0.05,0.7,5,passa,0,0.020042,0.020042,0.036399,state_space
M1+M,300,0.05,0.7,6,falha,1,0.046268,0.046268,0.143885,state_space
M1+M,300,0.05,0.7,7,passa,0,0.02693,0.02693,0.197003,state_space
M1+M,300,0.3,1.0,0,passa,0,-0.039883,-0.039883,0.119157,state_space
M1+M,300,0.3,1.0,1,passa,0,0.002219,0.002219,0.131932,state_space
M1+M,300,0.3,1.0,2,passa,0,0.027096,0.027096,0.149892,state_space
M1+M,300,0.3,1.0,3,passa,0,0.002108,0.002108,0.075869,state_space
M1+M,300,0.3,1.0,4,passa,0,-0.158451,-0.158451,0.107372,state_space
M1+M,300,0.3,1.0,5,passa,0,0.014656,0.014656,0.054324,state_space
M1+M,300,0.3,1.0,6,passa,0,0.00147,0.00147,0.110459,state_space
M1+M,300,0.3,1.0,7,passa,0,-0.002759,-0.002759,0.143804,state_space
M1+M,300,0.3,0.7,0,passa,0,-0.002504,-0.002504,0.106963,state_space
M1+M,300,0.3,0.7,1,passa,0,-0.007774,-0.007774,0.058008,state_space
M1+M,300,0.3,0.7,2,passa,0,0.019079,0.019079,0.167429,state_space
M1+M,300,0.3,0.7,3,passa,0,0.019508,0.019508,0.098527,state_space
M1+M,300,0.3,0.7,4,passa,0,-0.957571,-0.355699,-0.957571,switching
M1+M,300,0.3,0.7,5,passa,0,0.007984,0.007984,0.061269,state_space
M1+M,300,0.3,0.7,6,passa,0,0.00448,0.00448,0.079747,state_space
M1+M,300,0.3,0.7,7,passa,0,-0.00343,-0.00343,0.126356,state_space
M1+M,600,0.05,1.0,0,falha,1,0.06063,0.06063,0.099647,state_space
M1+M,600,0.05,1.0,1,passa,0,0.021244,0.021244,0.055471,state_space
M1+M,600,0.05,1.0,2,falha,1,0.062041,0.062041,0.156253,state_space
M1+M,600,0.05,1.0,3,passa,0,0.002728,0.002728,0.036008,state_space
M1+M,600,0.05,1.0,4,passa,0,-0.346507,-0.346507,-0.287665,state_space
M1+M,600,0.05,1.0,5,passa,0,0.010606,0.010606,0.049508,state_space
M1+M,600,0.05,1.0,6,falha,1,0.051438,0.051438,0.084846,state_space
M1+M,600,0.05,1.0,7,falha,1,0.067821,0.067821,0.162697,state_space
M1+M,600,0.05,0.7,0,passa,0,-0.28513,-0.000171,-0.28513,switching
M1+M,600,0.05,0.7,1,passa,0,0.014582,0.014582,0.074073,state_space
M1+M,600,0.05,0.7,2,falha,1,0.057016,0.057016,0.122027,state_space
M1+M,600,0.05,0.7,3,passa,0,-0.026732,-0.026732,0.019878,state_space
M1+M,600,0.05,0.7,4,passa,0,-0.913452,-0.912278,-0.913452,switching
M1+M,600,0.05,0.7,5,passa,0,0.026743,0.026743,0.073719,state_space
M1+M,600,0.05,0.7,6,passa,0,0.027781,0.027781,0.071683,state_space
M1+M,600,0.05,0.7,7,falha,1,0.069313,0.069313,0.147463,state_space
M1+M,600,0.3,1.0,0,passa,0,0.014234,0.014234,0.105721,state_space
M1+M,600,0.3,1.0,1,passa,0,0.004395,0.004395,0.061213,state_space
M1+M,600,0.3,1.0,2,passa,0,0.01601,0.01601,0.111229,state_space
M1+M,600,0.3,1.0,3,passa,0,0.000534,0.000534,0.060867,state_space
M1+M,600,0.3,1.0,4,passa,0,-0.070348,-0.070348,0.083481,state_space
M1+M,600,0.3,1.0,5,passa,0,0.008623,0.008623,0.019744,state_space
M1+M,600,0.3,1.0,6,passa,0,0.003053,0.003053,0.081421,state_space
M1+M,600,0.3,1.0,7,passa,0,0.025053,0.025053,0.090995,state_space
M1+M,600,0.3,0.7,0,passa,0,-0.120076,-0.032565,-0.120076,switching
M1+M,600,0.3,0.7,1,passa,0,0.013305,0.013305,0.076255,state_space
M1+M,600,0.3,0.7,2,passa,0,0.029224,0.029224,0.158317,state_space
M1+M,600,0.3,0.7,3,passa,0,0.001732,0.001732,0.094642,state_space
M1+M,600,0.3,0.7,4,passa,0,-0.157039,-0.157039,0.048859,state_space
M1+M,600,0.3,0.7,5,passa,0,0.026861,0.026861,0.043212,state_space
M1+M,600,0.3,0.7,6,passa,0,-0.001025,-0.001025,0.069188,state_space
M1+M,600,0.3,0.7,7,falha,1,0.035289,0.035289,0.114263,state_space
