T,ax_H,ax_M,ax_N,exact,keep,missed,node,noise,nonlinear_h,rep,s_axis,s_correct,selected,spurious,gain_H,gain_H_u_alignment,gain_M,gain_M1_vs_M0,gain_M_vs_AR1,gain_M_vs_SS,gain_N,gain_N_null_q95,gain_S,gain_S_null_q95,gain_S_q_frac,sw_mae,sw_matched,sw_n_planted,sw_n_recovered,sw_precision,sw_recall
600,0,0,0,1,0.5,0,M1,0.05,1,2,1,1,M1,0,-0.002,0.0,,0.9441,,,-0.266,0.0346,0.5154,0.0039,0.7486,,,,,,
600,0,0,0,1,1.0,0,M1,0.2,0,0,0,0,M1,0,-0.0486,0.0895,-0.0298,0.3764,0.0488,-0.0298,0.0119,0.008,0.4487,0.0245,0.4521,,,,,,
600,1,0,0,0,1.0,0,M1,0.2,0,1,0,0,M1+H,1,0.0331,0.1636,0.0238,0.559,0.1962,0.0238,-0.0831,0.003,0.7276,0.0035,0.4225,,,,,,
600,0,0,0,1,1.0,0,M1,0.2,0,2,1,1,M1,0,-0.0038,0.0877,-0.0805,0.3162,0.082,-0.0805,-2.7964,-0.0151,0.6697,0.284,0.5006,,,,,,
600,0,0,0,1,1.0,0,M1,0.2,1,0,0,0,M1,0,0.0262,0.0731,-0.0247,0.344,0.1011,-0.0247,-0.0102,0.0062,0.2976,0.0068,0.4943,,,,,,
600,0,0,0,1,1.0,0,M1,0.2,1,1,0,0,M1,0,-0.0161,0.115,-0.0316,0.8666,0.0906,-0.0316,0.0049,0.0068,0.5934,0.002,0.4175,,,,,,
600,0,0,0,1,1.0,0,M1,0.2,1,2,1,1,M1,0,-0.005,0.1809,-0.0242,0.8157,0.0587,-0.0242,-0.0169,0.003,0.4614,0.0019,0.5765,,,,,,
600,0,0,0,1,0.7,0,M1,0.2,0,0,1,1,M1,0,0.019,0.1209,,0.4033,,,-0.6902,-0.0029,0.429,0.1379,0.5608,,,,,,
600,0,1,0,0,0.7,0,M1,0.2,0,1,1,1,M1+M,1,-0.056,0.0,0.1361,0.7733,0.3078,0.1361,-0.0147,0.0204,0.2954,0.0036,0.5221,,,,,,
600,0,1,0,0,0.7,0,M1,0.2,0,2,0,0,M1+M,1,-0.0324,0.1724,0.1814,0.2406,0.4525,0.1814,-0.2254,0.0115,0.8208,0.0085,0.4968,,,,,,
600,0,0,0,1,0.7,0,M1,0.2,1,0,0,0,M1,0,-0.0194,0.2388,,0.7995,,,-0.0366,0.0036,0.4534,0.0077,0.4694,,,,,,
600,0,0,1,0,0.7,0,M1,0.2,1,1,1,1,M1+N,1,-0.0456,0.1749,,0.2532,,,0.032,0.0062,0.6163,0.0802,0.542,,,,,,
600,0,0,0,1,0.7,0,M1,0.2,1,2,1,1,M1,0,-0.0088,0.0953,,0.6633,,,-0.0459,0.0039,0.2305,0.0038,0.5415,,,,,,
600,0,0,0,1,0.5,0,M1,0.2,0,0,1,1,M1,0,-0.0981,0.0,,0.9035,,,-0.2715,0.0166,0.4939,0.0208,0.6281,,,,,,
600,0,0,1,0,0.5,0,M1,0.2,0,1,1,1,M1+N,1,-0.0545,0.0583,,0.3625,,,0.0635,0.0155,0.464,0.0119,0.5585,,,,,,
600,0,0,0,1,0.5,0,M1,0.2,0,2,1,1,M1,0,-0.1153,0.0,,0.6232,,,-2.9832,0.0322,0.3589,0.0101,0.622,,,,,,
600,0,0,0,1,0.5,0,M1,0.2,1,0,1,1,M1,0,-0.0043,0.1021,,0.7159,,,-0.0973,0.0116,0.5402,0.0097,0.5724,,,,,,
600,0,0,0,1,0.5,0,M1,0.2,1,1,1,1,M1,0,-0.1576,0.1017,,0.5341,,,-0.1325,0.0509,0.5431,0.053,0.5413,,,,,,
600,0,0,1,0,0.5,0,M1,0.2,1,2,1,1,M1+N,1,-0.2674,0.0,,0.2096,,,0.0718,0.0303,0.628,0.0059,0.576,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.05,0,0,1,1,M1,0,0.0107,0.0965,-0.0189,0.7242,-0.0189,0.0705,-0.0064,0.0081,0.9248,0.0102,0.5129,,,,,,
600,0,0,1,1,1.0,0,M1+N,0.05,0,1,1,1,M1+N,0,-0.1697,0.2039,-0.0236,0.7912,-0.0236,0.0049,0.139,0.0081,0.8928,-0.0186,0.7548,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.05,0,2,1,1,M1,0,0.0188,0.4248,-0.0444,0.7222,-0.0444,-0.0304,0.0203,0.0083,0.3066,0.0074,0.6929,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.05,1,0,0,0,M1,0,-0.0099,0.0759,-0.0386,0.513,-0.0386,0.0699,0.0006,0.0057,0.9972,0.008,0.2564,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.05,1,1,1,1,M1,0,-0.0189,0.0108,-0.0105,0.5954,-0.0105,0.0515,-0.0019,0.0046,0.9302,0.0079,0.5687,,,,,,
600,0,1,1,0,1.0,0,M1+N,0.05,1,2,1,1,M1+N+M,1,-0.1433,0.0829,0.0695,0.4559,0.1436,0.0695,0.1185,0.003,0.9271,0.0094,0.5875,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.05,0,0,0,0,M0,0,,,,-0.9703,,,,,,,,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.05,0,1,1,1,M1,0,0.0126,0.221,,0.9119,,,-0.0439,0.0374,0.5166,0.0146,0.8064,,,,,,
600,0,0,1,1,0.7,0,M1+N,0.05,0,2,1,1,M1+N,0,-0.0919,0.1339,,0.6297,,,0.1189,0.0148,0.5844,0.0056,0.8233,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.05,1,0,1,1,M1,0,-0.1108,0.0316,,0.9165,,,0.0048,0.0201,0.9211,0.0304,0.6464,,,,,,
600,0,0,1,1,0.7,0,M1+N,0.05,1,1,1,1,M1+N,0,-0.1145,0.0913,,0.6815,,,0.1221,0.0206,0.8903,0.017,0.7048,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.05,1,2,1,1,M1,0,-0.0336,0.0337,,0.7174,,,0.0134,0.0085,0.8956,0.0019,0.6499,,,,,,
600,0,0,1,1,0.5,0,M1+N,0.05,0,0,1,1,M1+N,0,-0.0397,0.0631,,0.5497,,,0.0349,0.0216,0.1279,0.0174,0.7324,,,,,,
600,0,0,1,1,0.5,0,M1+N,0.05,0,1,1,1,M1+N,0,-0.1621,0.0988,,0.8667,,,0.1164,0.0163,0.4093,0.0638,0.7035,,,,,,
600,0,0,1,1,0.5,0,M1+N,0.05,0,2,1,1,M1+N,0,-0.1854,0.0854,,0.881,,,0.0914,0.0156,0.6594,0.0156,0.8419,,,,,,
600,0,0,0,0,0.5,1,M1+N,0.05,1,0,0,0,M0,0,,,,-0.3411,,,,,,,,,,,,,
600,0,0,0,0,0.5,1,M1+N,0.05,1,1,1,1,M1,0,-0.05,0.0985,,0.8463,,,-0.0005,0.0091,0.2069,0.1131,0.724,,,,,,
600,0,0,1,1,0.5,0,M1+N,0.05,1,2,1,1,M1+N,0,-0.2777,0.0,,0.6262,,,0.1767,0.0153,0.8248,0.0069,0.531,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.2,0,0,0,0,M1,0,-0.0228,0.1298,-0.0501,0.7052,0.0151,-0.0501,-0.0056,0.0037,0.3487,0.0025,0.4895,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.2,0,1,0,0,M1,0,0.0226,0.0199,-0.007,0.6704,0.0658,-0.007,0.0053,0.0055,0.6879,0.0109,0.496,,,,,,
600,1,1,0,0,1.0,1,M1+N,0.2,0,2,1,1,M1+H+M,1,0.1351,0.1468,0.0378,0.508,0.0938,0.0378,0.0099,0.0062,0.8417,-0.0683,0.5694,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.2,1,0,1,1,M1,0,0.0286,0.0357,-0.0254,0.6421,-0.0202,-0.0254,0.0098,0.003,0.0497,0.0045,0.6091,,,,,,
600,1,0,0,0,1.0,1,M1+N,0.2,1,1,0,0,M1+H,1,0.0585,0.1904,-0.0757,0.2101,0.0885,-0.0757,-0.0098,0.0043,0.5276,0.0054,0.4527,,,,,,
600,0,0,1,1,1.0,0,M1+N,0.2,1,2,0,0,M1+N,0,-0.056,0.0988,-0.0371,0.9357,0.0026,-0.0371,0.0407,0.005,0.7762,0.0026,0.4996,,,,,,
600,1,0,0,0,0.7,1,M1+N,0.2,0,0,0,0,M1+H,1,0.3552,0.0769,,1.0,,,-9.0139544130641e+59,0.0147,-1.2595,0.7508,0.0,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.2,0,1,1,1,M1,0,-0.0199,0.0916,,0.6655,,,-0.0007,0.0118,0.1104,0.0141,0.5734,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.2,0,2,1,1,M1,0,0.0038,0.1618,,0.5098,,,0.0053,-0.0008,0.0799,0.0067,0.5485,,,,,,
600,1,0,1,0,0.7,0,M1+N,0.2,1,0,0,0,M1+N+H,1,0.0577,0.132,,0.3847,,,0.1157,0.012,0.731,0.0101,0.4404,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.2,1,1,0,0,M1,0,-0.0367,0.0896,,0.6685,,,-0.0027,0.0106,0.5532,0.0069,0.3839,,,,,,
600,0,0,0,0,0.7,1,M1+N,0.2,1,2,0,0,M0,0,,,,-5.9885,,,,,,,,,,,,,
600,0,0,0,0,0.5,1,M1+N,0.2,0,0,1,1,M1,0,-0.0345,0.0849,,0.6687,,,0.013,0.0252,0.8369,0.032,0.586,,,,,,
600,0,0,0,0,0.5,1,M1+N,0.2,0,1,1,1,M1,0,-0.0108,0.0854,,0.1614,,,0.0072,0.0053,0.898,0.04,0.5807,,,,,,
600,0,0,1,1,0.5,0,M1+N,0.2,0,2,1,1,M1+N,0,-0.0667,0.0306,,0.6545,,,0.0438,0.0434,0.4214,0.0129,0.588,,,,,,
600,0,0,0,0,0.5,1,M1+N,0.2,1,0,1,1,M1,0,-0.0018,0.1307,,0.1014,,,0.0063,0.0124,0.4153,0.0101,0.6456,,,,,,
600,0,0,0,0,0.5,1,M1+N,0.2,1,1,1,1,M1,0,-0.0319,0.2164,,0.3787,,,-0.05,0.0355,0.4869,0.0126,0.6316,,,,,,
600,1,0,1,0,0.5,0,M1+N,0.2,1,2,0,0,M1+N+H,1,0.2054,0.03,,0.2768,,,0.0543,0.0216,0.75,0.0044,0.4624,,,,,,
600,0,0,0,0,1.0,1,M1+H,0.05,0,0,1,1,M1,0,0.0173,0.1221,0.0141,0.8418,0.0165,0.0141,-0.0367,0.0061,0.5199,-0.0109,0.6749,1.25,4,8,6,0.667,0.5
600,1,0,0,1,1.0,0,M1+H,0.05,0,1,1,1,M1+H,0,0.1483,0.0955,-0.0415,0.8345,0.0447,-0.0415,-0.0301,0.004,0.69,0.0615,0.6363,2.2,5,7,5,1.0,0.714
600,1,1,0,0,1.0,0,M1+H,0.05,0,2,1,1,M1+H+M,1,0.5483,0.0101,0.1548,0.7681,0.1548,0.155,-0.57,0.0028,0.3539,0.0026,0.5924,0.89,9,12,10,0.9,0.75
600,0,0,0,0,1.0,1,M1+H,0.05,1,0,0,0,M1,0,-0.0936,0.175,-0.0515,0.9463,-0.0515,0.0282,-0.0228,0.0054,0.7817,0.008,0.4822,3.75,4,13,10,0.4,0.308
600,1,1,1,0,1.0,0,M1+H,0.05,1,1,1,1,M1+N+H+M,1,0.4676,0.0445,0.1872,0.6872,0.1937,0.1872,0.0756,0.0092,0.1871,0.0047,0.7324,1.67,6,10,6,1.0,0.6
600,1,1,1,0,1.0,0,M1+H,0.05,1,2,0,0,M1+N+H+M,1,0.0771,0.0189,0.0478,0.7883,0.3477,0.0478,0.2053,0.007,0.7685,0.0112,0.4126,2.71,7,12,8,0.875,0.583
600,1,0,1,0,0.7,0,M1+H,0.05,0,0,0,0,M1+N+H,1,0.4002,0.1154,,0.5466,,,0.1561,0.0196,-0.4153,0.0631,0.5943,2.0,1,9,5,0.2,0.111
600,0,0,0,0,0.7,1,M1+H,0.05,0,1,1,1,M1,0,0.0123,0.1407,,0.826,,,-0.0466,-0.0054,0.4725,0.1143,0.6241,0.67,3,7,5,0.6,0.429
600,0,0,0,0,0.7,1,M1+H,0.05,0,2,1,1,M1,0,-0.0809,0.1749,,0.9118,,,-0.4594,0.0226,0.7052,0.1559,0.5535,0.0,2,6,2,1.0,0.333
600,0,0,0,0,0.7,1,M1+H,0.05,1,0,1,1,M1,0,-0.1578,0.1318,,0.7181,,,-0.5722,-0.0061,0.5056,0.0473,0.6395,3.6,5,14,6,0.833,0.357
600,0,0,0,0,0.7,1,M1+H,0.05,1,1,1,1,M1,0,-0.0333,0.0264,,0.9246,,,-0.0243,-0.0059,0.6443,0.0356,0.7298,3.0,1,4,3,0.333,0.25
600,1,0,1,0,0.7,0,M1+H,0.05,1,2,1,1,M1+N+H,1,0.3063,0.1705,,0.3323,,,0.158,0.0216,0.109,0.037,0.626,3.8,5,5,5,1.0,1.0
600,0,0,0,0,0.5,1,M1+H,0.05,0,0,1,1,M1,0,0.0264,0.0,,0.8537,,,-384.6444,-0.9805,0.6132,0.306,0.7331,nan,0,21,0,0.0,0.0
600,0,0,0,0,0.5,1,M1+H,0.05,0,1,1,1,M1,0,-0.2333,0.0296,,0.9259,,,-0.5424,0.0106,0.4098,0.0054,0.8225,5.0,1,11,3,0.333,0.091
600,0,0,1,0,0.5,1,M1+H,0.05,0,2,0,0,M1+N,1,-0.9571,0.0304,,0.5173,,,0.3176,-0.0191,-0.0794,0.0151,0.6089,8.0,1,2,2,0.5,0.5
600,1,0,1,0,0.5,0,M1+H,0.05,1,0,0,0,M1+N+H,1,0.3254,0.1216,,0.0413,,,0.0522,0.0182,-0.3273,0.0092,0.5723,10.0,1,8,3,0.333,0.125
600,0,0,0,0,0.5,1,M1+H,0.05,1,1,1,1,M1,0,-0.1118,0.0,,0.3068,,,-0.0033,0.0141,0.4416,0.0032,0.66,nan,0,7,0,0.0,0.0
600,1,0,1,0,0.5,0,M1+H,0.05,1,2,1,1,M1+N+H,1,0.1322,0.1588,,0.3923,,,0.0773,0.0214,0.1464,0.0059,0.6697,4.5,2,7,4,0.5,0.286
600,1,1,0,0,1.0,0,M1+H,0.2,0,0,0,0,M1+H+M,1,0.2981,0.0356,0.0608,0.225,0.1614,0.0608,-0.2987,0.0037,0.4063,0.0143,0.3993,3.22,9,10,10,0.9,0.9
600,1,0,0,1,1.0,0,M1+H,0.2,0,1,0,0,M1+H,0,0.1275,0.1008,0.0004,0.4791,0.0299,0.0004,0.0229,0.005,0.0506,0.0037,0.3565,2.6,5,11,8,0.625,0.455
600,0,0,0,0,1.0,1,M1+H,0.2,0,2,0,0,M1,0,0.0228,0.0562,-0.0211,0.8022,0.1107,-0.0211,-0.0271,0.0071,0.478,0.0014,0.4313,2.8,5,14,6,0.833,0.357
600,1,1,0,0,1.0,0,M1+H,0.2,1,0,0,0,M1+H+M,1,0.0937,0.1318,0.0905,0.5256,0.1117,0.0905,-0.011,0.0014,-0.0095,0.0051,0.3976,1.86,7,11,7,1.0,0.636
600,1,0,0,1,1.0,0,M1+H,0.2,1,1,0,0,M1+H,0,0.1243,0.1048,-0.0091,0.3616,0.0344,-0.0091,-0.002,0.005,-0.1237,0.0209,0.4269,4.67,3,7,3,1.0,0.429
600,1,1,0,0,1.0,0,M1+H,0.2,1,2,0,0,M1+H+M,1,0.1101,0.0108,0.0414,0.5565,0.079,0.0414,-0.0097,0.0077,0.1108,0.0061,0.4326,4.0,6,7,6,1.0,0.857
600,0,0,0,0,0.7,1,M1+H,0.2,0,0,0,0,M1,0,-0.0331,0.1643,,0.4962,,,-0.013,0.0047,-0.1043,0.0168,0.5421,nan,0,5,6,0.0,0.0
600,1,0,0,1,0.7,0,M1+H,0.2,0,1,0,0,M1+H,0,0.0774,0.0059,,0.4235,,,-0.0279,0.0149,0.0399,0.0119,0.4651,3.0,2,6,2,1.0,0.333
600,1,0,0,1,0.7,0,M1+H,0.2,0,2,1,1,M1+H,0,0.2699,0.1788,,0.4117,,,-0.1016,0.0145,0.2113,-0.0225,0.6382,1.25,4,8,4,1.0,0.5
600,1,0,0,1,0.7,0,M1+H,0.2,1,0,1,1,M1+H,0,0.1931,0.0799,,0.7988,,,0.025,0.0157,0.2021,0.0104,0.6245,3.5,2,9,3,0.667,0.222
600,0,0,0,0,0.7,1,M1+H,0.2,1,1,0,0,M1,0,0.0077,0.117,,0.2658,,,-0.0255,0.0168,0.327,0.0078,0.4945,1.0,2,8,2,1.0,0.25
600,1,0,0,1,0.7,0,M1+H,0.2,1,2,0,0,M1+H,0,0.163,0.1201,,0.1964,,,-0.0297,0.0133,-0.165,0.0068,0.5393,3.0,1,5,3,0.333,0.2
600,0,0,0,0,0.5,1,M1+H,0.2,0,0,0,0,M1,0,0.0245,0.0603,,0.5421,,,-0.1182,0.0107,-0.0306,0.0068,0.5669,nan,0,8,3,0.0,0.0
600,0,0,0,0,0.5,1,M1+H,0.2,0,1,1,1,M1,0,0.0289,0.0666,,0.2549,,,-0.1138,0.0134,0.2605,0.0224,0.6263,7.0,1,5,3,0.333,0.2
600,1,0,1,0,0.5,0,M1+H,0.2,0,2,0,0,M1+N+H,1,0.1367,0.0479,,0.2226,,,0.1332,0.0101,-0.2153,0.0284,0.5671,nan,0,9,1,0.0,0.0
600,1,0,0,1,0.5,0,M1+H,0.2,1,0,1,1,M1+H,0,0.1494,0.0816,,0.7293,,,0.0163,0.019,0.2435,0.0134,0.583,4.0,1,16,3,0.333,0.062
600,0,0,0,0,0.5,1,M1+H,0.2,1,1,0,0,M1,0,0.0172,0.0525,,0.5056,,,-0.9035,-0.0402,-0.0324,0.0248,0.58,nan,0,5,2,0.0,0.0
600,0,0,0,0,0.5,1,M1+H,0.2,1,2,1,1,M1,0,0.0054,0.0645,,0.9305,,,-0.1152,0.0167,0.7464,0.0049,0.6587,4.0,1,7,2,0.5,0.143
600,0,0,0,0,1.0,1,M1+M,0.05,0,0,1,1,M1,0,0.0102,0.2241,-0.0503,0.4348,-0.0116,-0.0503,-0.0015,0.0073,0.0764,-0.0017,0.5068,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.05,0,1,1,1,M1,0,-0.0291,0.0393,-0.002,0.4915,-0.002,0.0001,-0.0059,0.0061,0.1851,0.0102,0.5642,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.05,0,2,1,1,M1,0,-0.0024,0.1795,-0.0215,0.5469,0.0385,-0.0215,-0.0305,0.0054,0.6902,-0.0217,0.5725,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.05,1,0,0,0,M1,0,-0.0097,0.1023,0.0025,0.5209,0.0064,0.0025,-0.0098,0.0039,0.0235,0.0047,0.6727,,,,,,
600,1,0,0,0,1.0,1,M1+M,0.05,1,1,1,1,M1+H,1,0.0497,0.0558,0.0032,0.1371,0.0069,0.0032,0.0007,0.0045,0.9443,0.1174,0.718,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.05,1,2,1,1,M1,0,-0.0248,0.1627,-0.0365,0.5038,-0.0245,-0.0365,-0.0044,0.0043,0.0641,0.005,0.6046,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.05,0,0,1,1,M1,0,-0.011,0.0927,,0.6549,,,-0.049,0.0108,0.7193,0.0122,0.6959,,,,,,
600,1,0,0,0,0.7,1,M1+M,0.05,0,1,1,1,M1+H,1,0.0322,0.0595,,0.6432,,,-0.36,-0.0698,0.0949,0.0912,0.7035,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.05,0,2,1,1,M1,0,-0.0114,0.0243,,0.6269,,,0.0217,0.0129,0.3705,0.0416,0.8427,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.05,1,0,1,1,M1,0,-0.0533,0.0584,,0.5083,,,-0.0276,0.0073,0.1587,0.0186,0.6145,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.05,1,1,1,1,M1,0,-0.0192,0.2181,,0.4387,,,0.0002,0.0127,0.3929,0.0066,0.5987,,,,,,
600,1,0,0,0,0.7,1,M1+M,0.05,1,2,0,0,M1+H,1,0.1657,0.0,,0.0523,,,0.0042,0.0174,0.9709,0.0055,0.3123,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.05,0,0,0,0,M0,0,,,,0.0291,,,,,,,,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.05,0,1,1,1,M1,0,-0.209,0.1371,,0.5263,,,-0.1363,0.0182,0.2101,0.0114,0.5832,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.05,0,2,1,1,M1,0,-0.8645,0.1395,,0.0926,,,-30.6806,-0.0207,0.9835,0.1385,0.6254,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.05,1,0,1,1,M1,0,-0.0256,0.0,,0.4079,,,-0.0079,-0.0017,0.6324,0.0179,0.6895,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.05,1,1,1,1,M1,0,-0.421,0.0493,,0.3865,,,-1.1356,-0.1099,0.3002,0.0093,0.6139,,,,,,
600,0,0,1,0,0.5,1,M1+M,0.05,1,2,1,1,M1+N,1,-0.9176,0.0,,0.8026,,,0.2865,0.0517,0.1974,0.0112,0.6398,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.2,0,0,0,0,M1,0,0.0074,0.0,0.0232,0.1083,0.1889,0.0232,-0.1183,0.0054,0.9948,0.0046,0.3803,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.2,0,1,1,1,M1,0,0.0181,0.2083,-0.0191,0.53,0.0254,-0.0191,-0.4943,-0.0244,0.1179,0.0361,0.5582,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.2,0,2,0,0,M1,0,-0.0204,0.0824,-0.0763,0.2105,0.1372,-0.0763,-0.022,0.0104,0.9689,0.306,0.4279,,,,,,
600,0,1,0,1,1.0,0,M1+M,0.2,1,0,1,1,M1+M,0,-0.0063,0.0993,0.0516,0.5183,0.0751,0.0516,-0.0163,0.0029,0.08,0.0045,0.5298,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.2,1,1,0,0,M1,0,-0.0631,0.1767,-0.016,0.3497,-0.0127,-0.016,-0.0014,0.0093,0.4359,0.0094,0.4893,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.2,1,2,0,0,M1,0,-0.0299,0.0563,-0.1297,0.1339,0.0541,-0.1297,-0.1223,0.0081,0.867,0.0084,0.2677,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.2,0,0,0,0,M1,0,-0.0148,0.0425,,0.19,,,-75.9285,0.0163,0.9738,0.0636,0.4829,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.2,0,1,0,0,M1,0,-0.0109,0.0594,-0.893,0.4239,-0.5733,-0.893,-0.0304,0.0031,-0.0059,0.0074,0.6045,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.2,0,2,1,1,M1,0,-0.013,0.0189,,0.4954,,,-0.089,0.003,0.1836,0.0051,0.5659,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.2,1,0,0,0,M1,0,-0.0087,0.1054,,0.5194,,,-0.1632,0.0096,0.0161,0.0042,0.6554,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.2,1,1,0,0,M1,0,-0.1576,0.25,,0.4655,,,-0.0351,0.0156,0.9384,0.0081,0.3786,,,,,,
600,0,0,0,0,0.7,1,M1+M,0.2,1,2,1,1,M1,0,-0.0129,0.0897,,0.4235,,,-0.0212,0.0098,0.2343,0.0175,0.5364,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.2,0,0,0,0,M1,0,-0.0146,0.1346,,0.4232,,,-0.0313,0.0192,-0.0032,0.0087,0.6094,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.2,0,1,0,0,M1,0,-0.1115,0.5189,,0.4397,,,-0.1707,-0.01,-0.0287,0.0773,0.5316,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.2,0,2,0,0,M1,0,0.0042,0.0,,0.5571,,,-0.0405,0.0423,-0.0107,0.0109,0.6266,,,,,,
600,0,0,1,0,0.5,1,M1+M,0.2,1,0,0,0,M1+N,1,-0.2221,0.0458,,0.2947,,,0.0605,0.0298,0.8653,0.0108,0.4238,,,,,,
600,0,0,0,0,0.5,1,M1+M,0.2,1,1,1,1,M1,0,-0.1847,0.2029,,0.4421,,,-0.0212,-0.015,0.0522,0.0219,0.6322,,,,,,
