T,ax_H,ax_M,ax_N,exact,keep,missed,n_hardest,node,noise,nonlinear_h,rep,s_axis,s_correct,selected,spurious,gain_H,gain_H_u_alignment,gain_M,gain_M1_vs_M0,gain_M_diag_vs_AR1,gain_M_diag_vs_SS,gain_M_k_best,gain_M_null_q95,gain_N,gain_N_null_linear_q95,gain_N_null_q95,gain_N_null_wiener_q95,gain_S,gain_S_null_q95,gain_S_q_frac,sw_mae,sw_matched,sw_n_planted,sw_n_recovered,sw_precision,sw_recall
300,0,0,1,1,1.0,0,wiener,M1+N,0.3,0,0,0,0,M1+N,0,-0.0511,0.0494,-0.0615,0.3331,0.1384,-0.0927,1.0,-0.0069,0.0428,0.0171,0.0296,0.0296,0.8206,0.0225,0.3384,,,,,,
300,0,0,0,0,1.0,1,wiener,M1+N,0.3,0,1,0,0,M1,0,-0.041,0.0,-0.0101,0.8314,0.065,-0.0985,1.0,0.0153,0.0397,0.0072,0.0585,0.0585,0.9113,0.0105,0.2615,,,,,,
600,0,0,0,0,1.0,1,wiener,M1+N,0.05,0,0,1,1,M1,0,0.0077,0.0377,-0.6833,0.6876,-0.0475,0.0093,1.0,-0.0383,-0.002,0.0078,0.0897,0.0897,0.9972,0.0104,0.7208,,,,,,
600,0,0,1,1,1.0,0,wiener,M1+N,0.05,0,1,1,1,M1+N,0,-0.1608,0.0421,-0.5,0.9775,0.1075,0.0963,2.0,-0.1452,0.1332,0.0126,0.1062,0.1062,0.9861,-0.0061,0.6391,,,,,,
600,0,0,0,0,1.0,1,wiener,M1+N,0.3,0,0,0,0,M1,0,0.0037,0.0708,-0.0035,0.4782,-0.0317,-0.0383,1.0,0.0074,-0.0036,0.0049,0.0121,0.0121,0.0404,0.0083,0.4953,,,,,,
600,0,0,0,0,1.0,1,,M1+N,0.3,0,1,0,0,M0,0,,,,-3.9778,,,,,,,,,,,,,,,,,
300,0,0,0,0,1.0,1,linear,M1+H,0.05,0,0,1,1,M1,0,0.0028,0.0782,-0.0074,0.8824,-0.0984,-0.0631,1.0,0.0134,-0.0443,0.0173,0.0173,0.0166,0.5555,0.0174,0.6552,1.0,2,3,2,1.0,0.667
300,1,0,0,1,1.0,0,wiener,M1+H,0.05,0,1,1,1,M1+H,0,0.2191,0.0,-0.0375,0.8359,-0.0307,-0.05,2.0,0.0052,-2.3741,0.0124,0.023,0.023,0.6295,0.0023,0.6119,0.5,2,2,2,1.0,1.0
300,0,1,0,0,1.0,1,wiener,M1+H,0.3,0,0,1,1,M1+M,1,-0.109,0.144,0.039,0.2016,-0.1233,-0.0351,1.0,0.0228,-0.241,0.0118,0.0225,0.0225,0.116,0.0232,0.5293,0.5,2,6,5,0.4,0.333
300,0,0,0,0,1.0,1,,M1+H,0.3,0,1,0,0,M0,0,,,,-8.4899,,,,,,,,,,,,nan,0,5,0,0.0,0.0
600,0,0,0,0,1.0,1,linear,M1+H,0.05,0,0,1,1,M1,0,0.0173,0.1221,-0.0058,0.8418,0.0165,0.0141,1.0,0.0072,-0.0367,0.0061,0.0061,0.0046,0.5199,-0.0009,0.6749,1.25,4,8,6,0.667,0.5
600,1,0,0,1,1.0,0,wiener,M1+H,0.05,0,1,1,1,M1+H,0,0.1483,0.0955,-0.0283,0.8345,0.0447,-0.0415,1.0,0.0048,-0.0301,0.004,0.059,0.059,0.69,0.0466,0.6363,2.2,5,7,5,1.0,0.714
600,1,0,0,1,1.0,0,wiener,M1+H,0.3,0,0,0,0,M1+H,0,0.0335,0.0852,0.0019,0.4069,0.0453,-0.0293,1.0,0.0077,0.0213,0.0039,0.0124,0.0124,0.2172,-0.0005,0.4057,1.5,4,4,8,0.5,1.0
600,0,0,0,0,1.0,1,linear,M1+H,0.3,0,1,0,0,M1,0,0.0263,0.2019,0.0095,0.559,0.023,0.0021,1.0,0.0019,0.0241,0.0079,0.0079,0.0068,0.056,0.0051,0.4507,5.0,2,5,3,0.667,0.4
300,0,0,0,0,1.0,1,linear,M1+M,0.05,0,0,1,1,M1,0,-0.1033,0.1518,-0.0109,0.5415,0.1788,-0.0612,1.0,-0.0329,-0.0797,0.0009,0.0009,0.0004,0.9725,0.1856,0.5221,,,,,,
300,0,0,0,0,1.0,1,linear,M1+M,0.05,0,1,1,1,M1,0,-0.0596,0.0347,-0.0032,0.5475,-0.0037,-0.0227,1.0,0.0108,-0.0051,0.024,0.024,0.0161,0.5556,0.0135,0.7154,,,,,,
300,0,0,0,0,1.0,1,wiener,M1+M,0.3,0,0,0,0,M1,0,-0.0365,0.1269,0.0205,0.1665,0.2431,0.0898,1.0,-0.0024,-0.9479,0.0013,0.0134,0.0134,0.5492,0.02,0.3411,,,,,,
300,0,1,0,1,1.0,0,wiener,M1+M,0.3,0,1,0,0,M1+M,0,-0.071,0.1102,0.0854,0.2344,0.1026,-0.0854,2.0,0.0101,-0.003,0.0131,0.0277,0.0277,0.9806,0.0258,0.3963,,,,,,
600,0,0,0,0,1.0,1,wiener,M1+M,0.05,0,0,1,1,M1,0,0.0102,0.2241,-0.0031,0.4348,-0.0116,-0.0503,1.0,0.0084,-0.0015,0.0073,0.0178,0.0178,0.0764,-0.0127,0.5068,,,,,,
600,0,0,0,0,1.0,1,wiener,M1+M,0.05,0,1,1,1,M1,0,-0.0291,0.0393,0.0172,0.4915,-0.002,0.0001,1.0,0.0033,-0.0059,0.0061,0.0218,0.0218,0.1851,0.0136,0.5642,,,,,,
600,0,0,0,0,1.0,1,linear,M1+M,0.3,0,0,0,0,M1,0,-0.0194,0.2367,0.015,0.4496,0.0112,-0.004,1.0,0.0077,0.0099,0.0084,0.0084,0.0063,0.0144,0.0038,0.5237,,,,,,
600,0,0,0,0,1.0,1,,M1+M,0.3,0,1,0,0,M0,0,,,,-0.5182,,,,,,,,,,,,,,,,,
