family,T,noise,keep,flip_p,rep,seed,model,chi_sha256,record_ceiling,signature_frac,accuracy,request_resolution_rate,unsupported_counterfactual_rate,contradicted_rate,brier_act,pause_violation_rate,deficit_inference_rate,n_steps,n_paused,n_scope
W-absence,300,0.1,1.0,0.05,3,277913991,M2,689752ec2d69,1.0,0.699,1.0,0.7191,0.0,0.0268,0.0096,,0.2956,299,0,274
W-absence,300,0.1,1.0,0.05,3,277913991,M1+pausa,689752ec2d69,1.0,0.699,0.9599,0.6823,0.0401,0.0334,0.0421,,0.2956,299,0,274
W-absence,300,0.1,1.0,0.05,4,1607546688,M0,689752ec2d69,1.0,0.699,0.9431,0.689,0.0569,0.087,0.0908,,0.2897,299,0,252
W-absence,300,0.1,1.0,0.05,4,1607546688,M1,689752ec2d69,1.0,0.699,0.9431,0.689,0.0569,0.087,0.0555,,0.2897,299,0,252
W-absence,300,0.1,1.0,0.05,4,1607546688,M2,689752ec2d69,1.0,0.699,1.0,0.7425,0.0,0.0635,0.0095,,0.2897,299,0,252
W-absence,300,0.1,1.0,0.05,4,1607546688,M1+pausa,689752ec2d69,1.0,0.699,0.9431,0.689,0.0569,0.087,0.0555,,0.2897,299,0,252
W-absence,300,0.1,1.0,0.05,5,1187644929,M0,689752ec2d69,1.0,0.699,0.9331,0.6957,0.0669,0.0502,0.0841,,0.2996,299,0,257
W-absence,300,0.1,1.0,0.05,5,1187644929,M1,689752ec2d69,1.0,0.699,0.9331,0.6957,0.0669,0.0502,0.0635,,0.2996,299,0,257
W-absence,300,0.1,1.0,0.05,5,1187644929,M2,689752ec2d69,1.0,0.699,1.0,0.7625,0.0,0.0268,0.0094,,0.2996,299,0,257
W-absence,300,0.1,1.0,0.05,5,1187644929,M1+pausa,689752ec2d69,1.0,0.699,0.9331,0.6957,0.0669,0.0502,0.0635,,0.2996,299,0,257
W-absence,300,0.1,1.0,0.05,6,1843877314,M0,689752ec2d69,1.0,0.699,0.9197,0.6856,0.0803,0.087,0.0802,,0.2929,299,0,239
W-absence,300,0.1,1.0,0.05,6,1843877314,M1,689752ec2d69,1.0,0.699,0.9197,0.6856,0.0803,0.087,0.0742,,0.2929,299,0,239
W-absence,300,0.1,1.0,0.05,6,1843877314,M2,689752ec2d69,1.0,0.699,1.0,0.7625,0.0,0.0635,0.0092,,0.2929,299,0,239
W-absence,300,0.1,1.0,0.05,6,1843877314,M1+pausa,689752ec2d69,1.0,0.699,0.9197,0.6856,0.0803,0.087,0.0742,,0.2929,299,0,239
W-absence,300,0.1,1.0,0.05,7,1962697859,M0,689752ec2d69,1.0,0.699,0.9164,0.7057,0.0836,0.0535,0.0911,,0.321,299,0,243
W-absence,300,0.1,1.0,0.05,7,1962697859,M1,689752ec2d69,1.0,0.699,0.9164,0.7057,0.0836,0.0535,0.0769,,0.321,299,0,243
W-absence,300,0.1,1.0,0.05,7,1962697859,M2,689752ec2d69,1.0,0.699,1.0,0.7826,0.0,0.0435,0.0092,,0.321,299,0,243
W-absence,300,0.1,1.0,0.05,7,1962697859,M1+pausa,689752ec2d69,1.0,0.699,0.9164,0.7057,0.0836,0.0535,0.0769,,0.321,299,0,243
W-absence,300,0.1,1.0,0.25,0,1987400527,M0,689752ec2d69,1.0,0.699,0.9532,0.5886,0.0468,0.1104,0.0641,,0.3125,299,0,240
W-absence,300,0.1,1.0,0.25,0,1987400527,M1,689752ec2d69,1.0,0.699,0.9532,0.5886,0.0468,0.1104,0.0475,,0.3125,299,0,240
W-absence,300,0.1,1.0,0.25,0,1987400527,M2,689752ec2d69,1.0,0.699,1.0,0.6087,0.0,0.0669,0.0096,,0.3125,299,0,240
W-absence,300,0.1,1.0,0.25,0,1987400527,M1+pausa,689752ec2d69,1.0,0.699,0.9532,0.5886,0.0468,0.1104,0.0475,,0.3125,299,0,240
W-absence,300,0.1,1.0,0.25,1,1869505038,M0,689752ec2d69,1.0,0.699,0.9799,0.6087,0.0201,0.1003,0.0495,,0.325,299,0,240
W-absence,300,0.1,1.0,0.25,1,1869505038,M1,689752ec2d69,1.0,0.699,0.9799,0.6087,0.0201,0.1003,0.0261,,0.325,299,0,240
W-absence,300,0.1,1.0,0.25,1,1869505038,M2,689752ec2d69,1.0,0.699,1.0,0.6221,0.0,0.087,0.0098,,0.325,299,0,240
W-absence,300,0.1,1.0,0.25,1,1869505038,M1+pausa,689752ec2d69,1.0,0.699,0.9799,0.6087,0.0201,0.1003,0.0261,,0.325,299,0,240
W-absence,300,0.1,1.0,0.25,2,1145254349,M0,689752ec2d69,1.0,0.699,0.9465,0.5886,0.0535,0.1037,0.0835,,0.2962,299,0,260
W-absence,300,0.1,1.0,0.25,2,1145254349,M1,689752ec2d69,1.0,0.699,0.9465,0.5886,0.0535,0.1037,0.0528,,0.2962,299,0,260
W-absence,300,0.1,1.0,0.25,2,1145254349,M2,689752ec2d69,1.0,0.699,1.0,0.6221,0.0,0.0702,0.0095,,0.2962,299,0,260
W-absence,300,0.1,1.0,0.25,2,1145254349,M1+pausa,689752ec2d69,1.0,0.699,0.9465,0.5886,0.0535,0.1037,0.0528,,0.2962,299,0,260
W-absence,300,0.1,1.0,0.25,3,1566048396,M0,689752ec2d69,1.0,0.699,0.9632,0.6388,0.0368,0.087,0.092,,0.3239,299,0,247
W-absence,300,0.1,1.0,0.25,3,1566048396,M1,689752ec2d69,1.0,0.699,0.9632,0.6388,0.0368,0.087,0.0394,,0.3239,299,0,247
W-absence,300,0.1,1.0,0.25,3,1566048396,M2,689752ec2d69,1.0,0.699,1.0,0.6589,0.0,0.0635,0.0096,,0.3239,299,0,247
W-absence,300,0.1,1.0,0.25,3,1566048396,M1+pausa,689752ec2d69,1.0,0.699,0.9632,0.6388,0.0368,0.087,0.0394,,0.3239,299,0,247
W-absence,300,0.1,1.0,0.25,4,303666763,M0,689752ec2d69,1.0,0.699,0.9732,0.592,0.0268,0.0836,0.0456,,0.2913,299,0,254
W-absence,300,0.1,1.0,0.25,4,303666763,M1,689752ec2d69,1.0,0.699,0.9732,0.592,0.0268,0.0836,0.0314,,0.2913,299,0,254
W-absence,300,0.1,1.0,0.25,4,303666763,M2,689752ec2d69,1.0,0.699,1.0,0.6087,0.0,0.0702,0.0097,,0.2913,299,0,254
W-absence,300,0.1,1.0,0.25,4,303666763,M1+pausa,689752ec2d69,1.0,0.699,0.9732,0.592,0.0268,0.0836,0.0314,,0.2913,299,0,254
W-absence,300,0.1,1.0,0.25,5,184723210,M0,689752ec2d69,1.0,0.699,0.9431,0.5753,0.0569,0.0903,0.0523,,0.3147,299,0,251
W-absence,300,0.1,1.0,0.25,5,184723210,M1,689752ec2d69,1.0,0.699,0.9431,0.5753,0.0569,0.0903,0.0555,,0.3147,299,0,251
W-absence,300,0.1,1.0,0.25,5,184723210,M2,689752ec2d69,1.0,0.699,1.0,0.6054,0.0,0.0602,0.0095,,0.3147,299,0,251
W-absence,300,0.1,1.0,0.25,5,184723210,M1+pausa,689752ec2d69,1.0,0.699,0.9431,0.5753,0.0569,0.0903,0.0555,,0.3147,299,0,251
W-absence,300,0.1,1.0,0.25,6,540013769,M0,689752ec2d69,1.0,0.699,0.9599,0.6054,0.0401,0.1171,0.0982,,0.2863,299,0,255
W-absence,300,0.1,1.0,0.25,6,540013769,M1,689752ec2d69,1.0,0.699,0.9599,0.6054,0.0401,0.1171,0.0421,,0.2863,299,0,255
W-absence,300,0.1,1.0,0.25,6,540013769,M2,689752ec2d69,1.0,0.699,1.0,0.6254,0.0,0.0903,0.0096,,0.2863,299,0,255
W-absence,300,0.1,1.0,0.25,6,540013769,M1+pausa,689752ec2d69,1.0,0.699,0.9599,0.6054,0.0401,0.1171,0.0421,,0.2863,299,0,255
W-absence,300,0.1,1.0,0.25,7,959759752,M0,689752ec2d69,1.0,0.699,0.9498,0.5886,0.0502,0.0736,0.0681,,0.3133,299,0,249
W-absence,300,0.1,1.0,0.25,7,959759752,M1,689752ec2d69,1.0,0.699,0.9498,0.5886,0.0502,0.0736,0.0501,,0.3133,299,0,249
W-absence,300,0.1,1.0,0.25,7,959759752,M2,689752ec2d69,1.0,0.699,1.0,0.612,0.0,0.0535,0.0095,,0.3133,299,0,249
W-absence,300,0.1,1.0,0.25,7,959759752,M1+pausa,689752ec2d69,1.0,0.699,0.9498,0.5886,0.0502,0.0736,0.0501,,0.3133,299,0,249
W-conflict,300,0.1,1.0,0.05,0,2127822445,M0,689752ec2d69,1.0,0.699,0.9431,0.6756,0.0569,0.2575,0.0991,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,0,2127822445,M1,689752ec2d69,1.0,0.699,0.9431,0.6756,0.0569,0.2575,0.0555,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,0,2127822445,M2,689752ec2d69,1.0,0.699,1.0,0.7224,0.0,0.2007,0.0095,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,0,2127822445,M1+pausa,689752ec2d69,1.0,0.699,0.9431,0.6756,0.0569,0.2575,0.0555,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,1,1741213484,M0,689752ec2d69,1.0,0.699,0.9365,0.6789,0.0635,0.204,0.0757,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,1,1741213484,M1,689752ec2d69,1.0,0.699,0.9365,0.6789,0.0635,0.204,0.0608,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,1,1741213484,M2,689752ec2d69,1.0,0.699,1.0,0.7425,0.0,0.1538,0.0094,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,1,1741213484,M1+pausa,689752ec2d69,1.0,0.699,0.9365,0.6789,0.0635,0.204,0.0608,,1.0,299,0,238
W-conflict,300,0.1,1.0,0.05,2,1290116335,M0,689752ec2d69,1.0,0.699,0.9398,0.689,0.0602,0.2575,0.0775,,1.0,299,0,244
W-conflict,300,0.1,1.0,0.05,2,1290116335,M1,689752ec2d69,1.0,0.699,0.9398,0.689,0.0602,0.2575,0.0582,,1.0,299,0,244
W-conflict,300,0.1,1.0,0.05,2,1290116335,M2,689752ec2d69,1.0,0.699,1.0,0.7458,0.0,0.1973,0.0094,,1.0,299,0,244
W-conflict,300,0.1,1.0,0.05,2,1290116335,M1+pausa,689752ec2d69,1.0,0.699,0.9398,0.689,0.0602,0.2575,0.0582,,1.0,299,0,244
W-conflict,300,0.1,1.0,0.05,3,1442753966,M0,689752ec2d69,1.0,0.699,0.9264,0.6555,0.0736,0.2676,0.0795,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.05,3,1442753966,M1,689752ec2d69,1.0,0.699,0.9264,0.6555,0.0736,0.2676,0.0689,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.05,3,1442753966,M2,689752ec2d69,1.0,0.699,1.0,0.7258,0.0,0.194,0.0093,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.05,3,1442753966,M1+pausa,689752ec2d69,1.0,0.699,0.9264,0.6555,0.0736,0.2676,0.0689,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.05,4,448740201,M0,689752ec2d69,1.0,0.699,0.9231,0.6254,0.0769,0.2742,0.0945,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,4,448740201,M1,689752ec2d69,1.0,0.699,0.9231,0.6254,0.0769,0.2742,0.0715,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,4,448740201,M2,689752ec2d69,1.0,0.699,1.0,0.6923,0.0,0.2007,0.0093,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,4,448740201,M1+pausa,689752ec2d69,1.0,0.699,0.9231,0.6254,0.0769,0.2742,0.0715,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,5,61082152,M0,689752ec2d69,1.0,0.699,0.9231,0.6421,0.0769,0.2609,0.0725,,1.0,299,0,234
W-conflict,300,0.1,1.0,0.05,5,61082152,M1,689752ec2d69,1.0,0.699,0.9231,0.6421,0.0769,0.2609,0.0715,,1.0,299,0,234
W-conflict,300,0.1,1.0,0.05,5,61082152,M2,689752ec2d69,1.0,0.699,1.0,0.7157,0.0,0.1839,0.0093,,1.0,299,0,234
W-conflict,300,0.1,1.0,0.05,5,61082152,M1+pausa,689752ec2d69,1.0,0.699,0.9231,0.6421,0.0769,0.2609,0.0715,,1.0,299,0,234
W-conflict,300,0.1,1.0,0.05,6,680090091,M0,689752ec2d69,1.0,0.699,0.9498,0.6522,0.0502,0.2742,0.0456,,1.0,299,0,243
W-conflict,300,0.1,1.0,0.05,6,680090091,M1,689752ec2d69,1.0,0.699,0.9498,0.6522,0.0502,0.2742,0.0501,,1.0,299,0,243
W-conflict,300,0.1,1.0,0.05,6,680090091,M2,689752ec2d69,1.0,0.699,1.0,0.7023,0.0,0.2241,0.0095,,1.0,299,0,243
W-conflict,300,0.1,1.0,0.05,6,680090091,M1+pausa,689752ec2d69,1.0,0.699,0.9498,0.6522,0.0502,0.2742,0.0501,,1.0,299,0,243
W-conflict,300,0.1,1.0,0.05,7,831678634,M0,689752ec2d69,1.0,0.699,0.9599,0.6756,0.0401,0.2709,0.0569,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,7,831678634,M1,689752ec2d69,1.0,0.699,0.9599,0.6756,0.0401,0.2709,0.0421,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,7,831678634,M2,689752ec2d69,1.0,0.699,1.0,0.7124,0.0,0.2308,0.0096,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.05,7,831678634,M1+pausa,689752ec2d69,1.0,0.699,0.9599,0.6756,0.0401,0.2709,0.0421,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.25,0,857431910,M0,689752ec2d69,1.0,0.699,0.9532,0.4649,0.0468,0.1906,0.0431,,1.0,299,0,248
W-conflict,300,0.1,1.0,0.25,0,857431910,M1,689752ec2d69,1.0,0.699,0.9532,0.4649,0.0468,0.1906,0.0475,,1.0,299,0,248
W-conflict,300,0.1,1.0,0.25,0,857431910,M2,689752ec2d69,1.0,0.699,1.0,0.4883,0.0,0.1472,0.0096,,1.0,299,0,248
W-conflict,300,0.1,1.0,0.25,0,857431910,M1+pausa,689752ec2d69,1.0,0.699,0.9532,0.4649,0.0468,0.1906,0.0475,,1.0,299,0,248
W-conflict,300,0.1,1.0,0.25,1,704671271,M0,689752ec2d69,1.0,0.699,0.9331,0.4816,0.0669,0.1773,0.0533,,1.0,299,0,269
W-conflict,300,0.1,1.0,0.25,1,704671271,M1,689752ec2d69,1.0,0.699,0.9331,0.4816,0.0669,0.1773,0.0635,,1.0,299,0,269
W-conflict,300,0.1,1.0,0.25,1,704671271,M2,689752ec2d69,1.0,0.699,1.0,0.5117,0.0,0.1137,0.0094,,1.0,299,0,269
W-conflict,300,0.1,1.0,0.25,1,704671271,M1+pausa,689752ec2d69,1.0,0.699,0.9331,0.4816,0.0669,0.1773,0.0635,,1.0,299,0,269
W-conflict,300,0.1,1.0,0.25,2,19742180,M0,689752ec2d69,1.0,0.699,0.9498,0.4716,0.0502,0.1605,0.0807,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.25,2,19742180,M1,689752ec2d69,1.0,0.699,0.9498,0.4716,0.0502,0.1605,0.0501,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.25,2,19742180,M2,689752ec2d69,1.0,0.699,1.0,0.4983,0.0,0.1104,0.0095,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.25,2,19742180,M1+pausa,689752ec2d69,1.0,0.699,0.9498,0.4716,0.0502,0.1605,0.0501,,1.0,299,0,250
W-conflict,300,0.1,1.0,0.25,3,406195365,M0,689752ec2d69,1.0,0.699,0.9298,0.4181,0.0702,0.1873,0.0682,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.25,3,406195365,M1,689752ec2d69,1.0,0.699,0.9298,0.4181,0.0702,0.1873,0.0662,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.25,3,406195365,M2,689752ec2d69,1.0,0.699,1.0,0.4482,0.0,0.1237,0.0093,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.25,3,406195365,M1+pausa,689752ec2d69,1.0,0.699,0.9298,0.4181,0.0702,0.1873,0.0662,,1.0,299,0,247
W-conflict,300,0.1,1.0,0.25,4,1467456098,M0,689752ec2d69,1.0,0.699,0.9666,0.5017,0.0334,0.1906,0.0334,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,4,1467456098,M1,689752ec2d69,1.0,0.699,0.9666,0.5017,0.0334,0.1906,0.0368,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,4,1467456098,M2,689752ec2d69,1.0,0.699,1.0,0.5217,0.0,0.1572,0.0097,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,4,1467456098,M1+pausa,689752ec2d69,1.0,0.699,0.9666,0.5017,0.0334,0.1906,0.0368,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,5,1315744547,M0,689752ec2d69,1.0,0.699,0.9565,0.4482,0.0435,0.1572,0.0435,,1.0,299,0,259
W-conflict,300,0.1,1.0,0.25,5,1315744547,M1,689752ec2d69,1.0,0.699,0.9565,0.4482,0.0435,0.1572,0.0448,,1.0,299,0,259
W-conflict,300,0.1,1.0,0.25,5,1315744547,M2,689752ec2d69,1.0,0.699,1.0,0.4716,0.0,0.1204,0.0096,,1.0,299,0,259
W-conflict,300,0.1,1.0,0.25,5,1315744547,M1+pausa,689752ec2d69,1.0,0.699,0.9565,0.4482,0.0435,0.1572,0.0448,,1.0,299,0,259
W-conflict,300,0.1,1.0,0.25,6,1698822368,M0,689752ec2d69,1.0,0.699,0.9465,0.4515,0.0535,0.204,0.0535,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,6,1698822368,M1,689752ec2d69,1.0,0.699,0.9465,0.4515,0.0535,0.204,0.0528,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,6,1698822368,M2,689752ec2d69,1.0,0.699,1.0,0.4783,0.0,0.1505,0.0095,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,6,1698822368,M1+pausa,689752ec2d69,1.0,0.699,0.9465,0.4515,0.0535,0.204,0.0528,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,7,2086324641,M0,689752ec2d69,1.0,0.699,0.9599,0.4482,0.0401,0.1739,0.031,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,7,2086324641,M1,689752ec2d69,1.0,0.699,0.9599,0.4482,0.0401,0.1739,0.0421,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,7,2086324641,M2,689752ec2d69,1.0,0.699,1.0,0.4682,0.0,0.1338,0.0096,,1.0,299,0,258
W-conflict,300,0.1,1.0,0.25,7,2086324641,M1+pausa,689752ec2d69,1.0,0.699,0.9599,0.4482,0.0401,0.1739,0.0421,,1.0,299,0,258
W-scope,300,0.1,1.0,0.05,0,1524084011,M0,689752ec2d69,0.9064,0.7726,0.1505,0.0033,0.0669,0.2308,0.1108,,1.0,299,0,231
W-scope,300,0.1,1.0,0.05,0,1524084011,M1,689752ec2d69,0.9064,0.7726,0.8495,0.6254,0.0669,0.2308,0.1277,,0.0909,299,0,231
W-scope,300,0.1,1.0,0.05,0,1524084011,M2,689752ec2d69,0.9064,0.7726,0.9064,0.6789,0.0,0.1672,0.0736,,0.0909,299,0,231
W-scope,300,0.1,1.0,0.05,0,1524084011,M1+pausa,689752ec2d69,0.9064,0.7726,0.8495,0.6254,0.0669,0.2308,0.1277,,0.0909,299,0,231
W-scope,300,0.1,1.0,0.05,1,1137482858,M0,689752ec2d69,0.9264,0.8763,0.0836,0.0033,0.0502,0.1773,0.0563,,1.0,299,0,262
W-scope,300,0.1,1.0,0.05,1,1137482858,M1,689752ec2d69,0.9264,0.8763,0.893,0.7425,0.0502,0.1773,0.0929,,0.0725,299,0,262
W-scope,300,0.1,1.0,0.05,1,1137482858,M2,689752ec2d69,0.9264,0.8763,0.9264,0.7759,0.0,0.1271,0.0523,,0.0725,299,0,262
W-scope,300,0.1,1.0,0.05,1,1137482858,M1+pausa,689752ec2d69,0.9264,0.8763,0.893,0.7425,0.0502,0.1773,0.0929,,0.0725,299,0,262
W-scope,300,0.1,1.0,0.05,2,1759629225,M0,689752ec2d69,0.8863,0.8395,0.1137,0.0067,0.0435,0.1973,0.1088,,1.0,299,0,251
W-scope,300,0.1,1.0,0.05,2,1759629225,M1,689752ec2d69,0.8863,0.8395,0.8495,0.6756,0.0435,0.1973,0.1251,,0.1155,299,0,251
W-scope,300,0.1,1.0,0.05,2,1759629225,M2,689752ec2d69,0.8863,0.8395,0.8863,0.709,0.0,0.1605,0.0899,,0.1155,299,0,251
W-scope,300,0.1,1.0,0.05,2,1759629225,M1+pausa,689752ec2d69,0.8863,0.8395,0.8495,0.6756,0.0435,0.1973,0.1251,,0.1155,299,0,251
W-scope,300,0.1,1.0,0.05,3,1912274664,M0,689752ec2d69,0.893,0.8261,0.1204,0.0033,0.0635,0.2542,0.0947,,1.0,299,0,247
W-scope,300,0.1,1.0,0.05,3,1912274664,M1,689752ec2d69,0.893,0.8261,0.8495,0.6689,0.0635,0.2542,0.1277,,0.1134,299,0,247
W-scope,300,0.1,1.0,0.05,3,1912274664,M2,689752ec2d69,0.893,0.8261,0.893,0.7124,0.0,0.1906,0.0763,,0.1134,299,0,247
W-scope,300,0.1,1.0,0.05,3,1912274664,M1+pausa,689752ec2d69,0.893,0.8261,0.8495,0.6689,0.0635,0.2542,0.1277,,0.1134,299,0,247
W-scope,300,0.1,1.0,0.05,4,1052469295,M0,689752ec2d69,0.913,0.8127,0.1371,0.0033,0.0569,0.2341,0.0965,,1.0,299,0,243
W-scope,300,0.1,1.0,0.05,4,1052469295,M1,689752ec2d69,0.913,0.8127,0.8796,0.6488,0.0569,0.2341,0.1036,,0.0823,299,0,243
W-scope,300,0.1,1.0,0.05,4,1052469295,M2,689752ec2d69,0.913,0.8127,0.913,0.6823,0.0,0.1773,0.0576,,0.0823,299,0,243
W-scope,300,0.1,1.0,0.05,4,1052469295,M1+pausa,689752ec2d69,0.913,0.8127,0.8796,0.6488,0.0569,0.2341,0.1036,,0.0823,299,0,243
W-scope,300,0.1,1.0,0.05,5,664820078,M0,689752ec2d69,0.8896,0.8127,0.1204,0.0067,0.0635,0.2341,0.104,,1.0,299,0,243
W-scope,300,0.1,1.0,0.05,5,664820078,M1,689752ec2d69,0.8896,0.8127,0.8428,0.6756,0.0635,0.2341,0.1277,,0.0988,299,0,243
W-scope,300,0.1,1.0,0.05,5,664820078,M2,689752ec2d69,0.8896,0.8127,0.8896,0.7157,0.0,0.1739,0.0763,,0.0988,299,0,243
W-scope,300,0.1,1.0,0.05,5,664820078,M1+pausa,689752ec2d69,0.8896,0.8127,0.8428,0.6756,0.0635,0.2341,0.1277,,0.0988,299,0,243
W-scope,300,0.1,1.0,0.05,6,210569901,M0,689752ec2d69,0.9097,0.8595,0.1003,0.0033,0.0435,0.1973,0.0634,,1.0,299,0,257
W-scope,300,0.1,1.0,0.05,6,210569901,M1,689752ec2d69,0.9097,0.8595,0.8829,0.6923,0.0435,0.1973,0.101,,0.0856,299,0,257
W-scope,300,0.1,1.0,0.05,6,210569901,M2,689752ec2d69,0.9097,0.8595,0.9097,0.7157,0.0,0.1538,0.0658,,0.0856,299,0,257
W-scope,300,0.1,1.0,0.05,6,210569901,M1+pausa,689752ec2d69,0.9097,0.8595,0.8829,0.6923,0.0435,0.1973,0.101,,0.0856,299,0,257
W-scope,300,0.1,1.0,0.05,7,362167276,M0,689752ec2d69,0.9097,0.8261,0.1371,0.01,0.0435,0.2241,0.0761,,1.0,299,0,247
W-scope,300,0.1,1.0,0.05,7,362167276,M1,689752ec2d69,0.9097,0.8261,0.8829,0.6622,0.0435,0.2241,0.0956,,0.085,299,0,247
W-scope,300,0.1,1.0,0.05,7,362167276,M2,689752ec2d69,0.9097,0.8261,0.9097,0.6856,0.0,0.1806,0.0604,,0.085,299,0,247
W-scope,300,0.1,1.0,0.05,7,362167276,M1+pausa,689752ec2d69,0.9097,0.8261,0.8829,0.6622,0.0435,0.2241,0.0956,,0.085,299,0,247
W-scope,300,0.1,1.0,0.25,0,387910688,M0,689752ec2d69,0.6154,0.8395,0.097,0.0067,0.1003,0.4214,0.2235,,1.0,299,0,251
W-scope,300,0.1,1.0,0.25,0,387910688,M1,689752ec2d69,0.6154,0.8395,0.5987,0.2843,0.1003,0.4214,0.3204,,0.3865,299,0,251
W-scope,300,0.1,1.0,0.25,0,387910688,M2,689752ec2d69,0.6154,0.8395,0.6154,0.2943,0.0,0.3244,0.2391,,0.3865,299,0,251
W-scope,300,0.1,1.0,0.25,0,387910688,M1+pausa,689752ec2d69,0.6154,0.8395,0.5987,0.2843,0.1003,0.4214,0.3204,,0.3865,299,0,251
W-scope,300,0.1,1.0,0.25,1,235158881,M0,689752ec2d69,0.6355,0.8094,0.097,0.0067,0.0936,0.4013,0.2229,,1.0,299,0,242
W-scope,300,0.1,1.0,0.25,1,235158881,M1,689752ec2d69,0.6355,0.8094,0.602,0.2977,0.0936,0.4013,0.3177,,0.3595,299,0,242
W-scope,300,0.1,1.0,0.25,1,235158881,M2,689752ec2d69,0.6355,0.8094,0.6355,0.3077,0.0,0.311,0.2419,,0.3595,299,0,242
